"","Date","Open","High","Low","Close","Volume","Adj.Close","cl_log"
"251","2014-09-29",59.83,60.31,58.76,59.41,1350800,58.1927,0
"250","2014-09-30",59.5,59.64,58.62,59.25,1379500,58.036,-0.00269678235240946
"249","2014-10-01",61.02,62.11,59.49,59.86,2398300,58.6335,0.0102427224093122
"248","2014-10-02",59.79,59.82,58.29,58.29,1529200,57.0957,-0.0265779503670945
"247","2014-10-03",58.29,58.29,58.29,58.29,0,57.0957,0
"246","2014-10-06",58.4,58.84,58.1,58.37,1458500,57.1741,0.00137150715824123
"245","2014-10-07",58.27,58.94,58.12,58.28,1068000,57.0859,-0.00154307788869546
"244","2014-10-08",58.1,58.28,57.65,58.16,1273500,56.9684,-0.00206114810174026
"243","2014-10-09",58.6,58.6,56.83,57.04,1260300,55.8713,-0.0194450571192234
"242","2014-10-10",56.66,57.42,55.11,55.16,2041400,54.0298,-0.0335147231809395
"241","2014-10-13",54.99,56.43,54.73,55.51,1498300,54.3727,0.0063251317769688
"240","2014-10-14",55,55.63,54.81,55.18,1692200,54.0494,-0.00596261591292983
"239","2014-10-15",55.18,55.3,53.26,54,2221300,52.8936,-0.0216165222248657
"238","2014-10-16",54.35,54.36,52.94,53.89,1940700,52.7858,-0.00203911461886908
"237","2014-10-17",53.8,54.64,53.46,54.64,2045400,53.5205,0.0138212833171293
"236","2014-10-20",57,58.57,56.32,56.61,2741600,55.4501,0.0354194327860339
"235","2014-10-21",56.64,58.06,56.09,57.96,1659000,56.7725,0.023567469403913
"234","2014-10-22",58.22,58.85,57.93,58.34,1090300,57.1447,0.00653484698709382
"233","2014-10-23",58.08,58.82,57.41,58.71,1084000,57.5071,0.00632210563651917
"232","2014-10-24",58.5,58.85,57.6,57.72,936400,56.5374,-0.0170063361704244
"231","2014-10-27",58.15,58.18,56.52,57.09,1010700,55.9203,-0.0109747639295022
"230","2014-10-28",57.52,57.82,57.09,57.34,902500,56.1652,0.00436949047905586
"229","2014-10-29",57.88,57.97,57.46,57.65,736700,56.4688,0.00539178625984427
"228","2014-10-30",57.73,57.91,56.25,56.95,1204500,55.7832,-0.0122165568218768
"227","2014-10-31",57.69,58.15,57.24,58.05,1074200,56.8606,0.0191310182507093
"226","2014-11-03",57.88,58.45,57.54,57.56,987500,56.3807,-0.00847682612473334
"225","2014-11-04",57.5,57.6,56.1,56.27,1057000,55.1171,-0.0226663485739794
"224","2014-11-05",56.5,58.02,56.4,56.76,1793300,55.597,0.00867031884665413
"223","2014-11-06",59.14,60.25,58.73,59.04,2946200,57.8303,0.0393833280003752
"222","2014-11-07",59,60.37,59,59.53,1600900,58.3103,0.00826520687308161
"221","2014-11-10",59.53,59.96,59.33,59.96,947100,58.7315,0.00719728606909822
"220","2014-11-11",60,60.3,59.38,60.13,1032900,58.898,0.00283121181708049
"219","2014-11-12",60,60.34,59.56,59.85,1125300,58.6237,-0.00466745304749517
"218","2014-11-13",60.24,61.94,60.16,61.6,2177400,60.3379,0.0288204385354919
"217","2014-11-14",62,63.31,61.76,63.1,2209100,61.8071,0.0240588990076934
"216","2014-11-17",62.5,63.09,62.18,62.92,1114500,61.6308,-0.00285669135709034
"215","2014-11-18",62.86,63.26,62.84,63.1,975700,61.8071,0.0028566913570904
"214","2014-11-19",63,64.15,63,63.78,1189800,62.4732,0.0107188920347441
"213","2014-11-20",63.99,65.66,63.81,65.6,2047300,64.2559,0.0281360343681316
"212","2014-11-21",65.67,67.09,64.23,65.72,3066000,64.3735,0.00182759721902409
"211","2014-11-24",65.56,65.81,64.95,65.02,1504700,63.6878,-0.0107083782933081
"210","2014-11-25",65,65.46,64.4,64.54,1438300,63.2176,-0.00740972825194335
"209","2014-11-26",64.56,64.98,64.06,64.5,994400,63.1785,-0.000619962822089107
"208","2014-11-27",64.41,64.85,64.33,64.62,720000,63.296,0.00185873659462556
"207","2014-11-28",64.59,64.85,64.09,64.5,933200,63.1785,-0.00185873659462544
"206","2014-12-01",64.4,64.83,63.54,63.74,1216700,62.434,-0.0118529148125365
"205","2014-12-02",63.81,63.87,62.9,63.05,1380300,61.7582,-0.0108842465782619
"204","2014-12-03",61.68,61.68,60.92,61.55,2775100,60.2889,-0.0240782097804661
"203","2014-12-04",61.35,61.63,60,60,3117400,58.7707,-0.0255052904083618
"202","2014-12-05",60.48,60.86,60.11,60.44,1605200,59.2016,0.00730657518243799
"201","2014-12-08",60.5,60.65,59.96,60.22,1279400,58.9862,-0.00364661435095105
"200","2014-12-09",59.89,60.02,59.13,59.13,1838000,57.9185,-0.0182661132208492
"199","2014-12-10",59.28,59.55,57.73,57.84,1780500,56.6549,-0.0220578319822292
"198","2014-12-11",57.47,58.51,57.23,58.42,1182700,57.223,0.00997771910908562
"197","2014-12-12",58,58.14,57.22,57.26,1661700,56.0868,-0.0200559972896259
"196","2014-12-15",57.5,58.37,56.3,56.34,1421800,55.1857,-0.0161975372217423
"195","2014-12-16",56.35,56.75,53.56,55.14,3709600,54.0102,-0.0215293568525759
"194","2014-12-17",54.64,55.86,54.33,55.67,2281900,54.5294,0.00956599659976579
"193","2014-12-18",55.81,56.57,54.55,56.55,1835400,55.3913,0.0156838003667129
"192","2014-12-19",56.71,57.27,56.01,56.6,1794700,55.4403,0.000883782647007916
"191","2014-12-22",56.86,57.42,56.73,56.89,877600,55.7244,0.00511059355341876
"190","2014-12-23",57,57.07,56.53,56.74,843100,55.5775,-0.00264014938185072
"189","2014-12-24",56.74,56.74,56.74,56.74,0,55.5775,0
"188","2014-12-25",56.74,56.74,56.74,56.74,0,55.5775,0
"187","2014-12-26",56.74,56.74,56.74,56.74,0,55.5775,0
"186","2014-12-29",56.52,56.9,56.35,56.67,726800,55.5089,-0.00123445919917746
"185","2014-12-30",56.3,57.62,56,57.62,848800,56.4394,0.0166247594748544
"184","2014-12-31",57.62,57.62,57.62,57.62,0,56.4394,0
"183","2015-01-01",57.62,57.62,57.62,57.62,0,56.4394,0
"182","2015-01-02",57.72,57.86,56.25,56.42,964200,55.264,-0.0210460240825321
"181","2015-01-05",56.27,56.8,54.7,54.75,1567600,53.6282,-0.0300463368772401
"180","2015-01-06",54.59,55.43,53.8,54.61,1281100,53.4911,-0.00256035253254788
"179","2015-01-07",55,55.38,54.62,55.16,1111200,54.0298,0.0100210367610387
"178","2015-01-08",55.65,57.18,55.63,56.98,1283100,55.8125,0.0324622761446611
"177","2015-01-09",56.75,57.65,56.53,56.82,1538900,55.6558,-0.0028119526437203
"176","2015-01-12",56.62,57.16,55.93,56.59,900200,55.4305,-0.00405608527160931
"175","2015-01-13",56.15,56.64,55.87,56.3,1372200,55.1465,-0.00513775600878789
"174","2015-01-14",56,56.05,54.92,55.45,1079800,54.3139,-0.0152128213492686
"173","2015-01-15",55.85,56.41,54.4,56.41,2277900,55.2542,0.0171647339555086
"172","2015-01-16",56.16,56.87,55.61,56.59,1401600,55.4305,0.00318584340254779
"171","2015-01-19",57,59.31,56.9,58.81,1949400,57.605,0.038479617317432
"170","2015-01-20",59.25,59.35,58.02,58.39,1536300,57.1936,-0.0071672661764184
"169","2015-01-21",58.38,58.42,57.08,58.05,1938100,56.8606,-0.00583993415154584
"168","2015-01-22",58.28,58.75,57.54,58.27,1834900,57.0761,0.00378267301108247
"167","2015-01-23",60.5,60.91,59.75,60.54,4223100,59.2996,0.0382169224385898
"166","2015-01-26",60.75,61.57,60.28,61.57,1882700,60.3085,0.0168704353295461
"165","2015-01-27",61.84,62.4,60.89,61.41,1602800,60.1518,-0.00260205058181097
"164","2015-01-28",62.05,62.8,60.56,61.4,1400400,60.142,-0.000162853188211064
"163","2015-01-29",61.09,61.43,60.26,61.43,862100,60.1714,0.000488480022739241
"162","2015-01-30",61.89,61.95,60.86,61.19,1342200,59.9363,-0.00391453770138693
"161","2015-02-02",61.59,61.89,61.01,61.79,1246300,60.524,0.00975776159843903
"160","2015-02-03",62,63.85,61.8,63.33,1545000,62.0324,0.0246176114554506
"159","2015-02-04",63.63,63.85,62.43,63.83,1171300,62.5222,0.00786414873962693
"158","2015-02-05",63.5,63.85,62.72,63.65,821300,62.3459,-0.00282397426455044
"157","2015-02-06",63.85,64.5,63.27,63.39,910000,62.0912,-0.00409320470734048
"156","2015-02-09",63.12,63.45,62.06,62.41,913600,61.1313,-0.0155806013501234
"155","2015-02-10",62.24,62.71,61.59,62.71,900500,61.4251,0.00479540560897788
"154","2015-02-11",62.8,63.53,62.72,63.51,889000,62.2087,0.012676449259954
"153","2015-02-12",63.2,65.9,63.05,65.33,2126000,63.9915,0.0282539750377754
"152","2015-02-13",65.5,65.85,64.74,64.88,1257600,63.5507,-0.0069119390455015
"151","2015-02-16",64.88,65.55,64.56,65.03,603500,63.6976,0.00230929207390302
"150","2015-02-17",64.44,64.92,63.32,63.63,1400500,62.3263,-0.0217636446363597
"149","2015-02-18",64.07,64.81,63.98,64.66,937900,63.3352,0.0160577150525862
"148","2015-02-19",64.66,68.86,63.76,67.87,5144300,66.4794,0.04845133841838
"147","2015-02-20",68.24,69.36,68.21,68.82,2680600,67.4099,0.0139002896536673
"146","2015-02-23",68.98,69.4,67.6,69.23,932700,67.8116,0.00593989432059982
"145","2015-02-24",69.21,69.39,68.42,68.92,1060900,67.5079,-0.00448788303020517
"144","2015-02-25",69.02,69.32,67.82,68.23,886900,66.832,-0.0100620608323966
"143","2015-02-26",68.4,69.09,68.24,68.89,752000,67.4785,0.00962667877777213
"142","2015-02-27",68.96,69.5,68.52,69.43,984400,68.0075,0.00780802116007763
"141","2015-03-02",69.38,70.1,68.24,68.88,900800,67.4687,-0.00795319064570679
"140","2015-03-03",69.21,70.65,68.36,68.44,1302800,67.0377,-0.00640841109548258
"139","2015-03-04",68.4,69.24,68.4,69,1260300,67.5863,0.00814905557326666
"138","2015-03-05",70,72.07,69.82,71.37,2374600,69.9077,0.0337711083857166
"137","2015-03-06",71.14,73.73,71.11,71.97,2296500,70.4954,0.00837175253673684
"136","2015-03-09",71.9,72.4,71.02,71.47,1253300,70.0057,-0.00697158428782546
"135","2015-03-10",71.47,71.81,70.18,70.42,1356500,68.9772,-0.014800467504981
"134","2015-03-11",70.64,71.78,70.5,71.36,1505100,69.8979,0.0132601745448475
"133","2015-03-12",71.47,71.99,70.95,71.24,988900,69.7804,-0.00168302985029312
"132","2015-03-13",71.66,71.71,70.54,70.86,912300,69.4082,-0.00534835898413494
"131","2015-03-16",70.99,72.69,70.9,72.24,1154600,70.7599,0.0192878096714041
"130","2015-03-17",72.03,72.15,70.97,71.48,1024600,70.0155,-0.0105762188175025
"129","2015-03-18",71.5,71.66,70.54,71,918500,69.5453,-0.00673781324991196
"128","2015-03-19",70.77,71.76,70.18,70.65,1266600,69.2025,-0.00494176791077886
"127","2015-03-20",70.85,71.06,70.28,70.3,2186100,68.8596,-0.0049663103139173
"126","2015-03-23",69.92,69.92,66.8,69.27,2128700,67.8507,-0.0147598867821056
"125","2015-03-24",68.8,71.35,68.73,71.16,1389400,69.702,0.0269189507631207
"124","2015-03-25",70.81,71.04,70.19,70.43,1210900,68.987,-0.0103115540403153
