"","Date","Open","High","Low","Close","Volume","Adj.Close","cl_log"
"251","2014-09-24",102.160004,102.849998,101.199997,101.75,60171800,100.039849,0
"250","2014-09-25",100.510002,100.709999,97.720001,97.870003,100092000,96.225065,-0.0388787262320698
"249","2014-09-26",98.529999,100.75,98.400002,100.75,62370500,99.056657,0.0290021027361578
"248","2014-09-29",98.650002,100.440002,98.629997,100.110001,49766300,98.427414,-0.00637260940638799
"247","2014-09-30",100.809998,101.540001,100.529999,100.75,55264100,99.056657,0.00637260940638806
"246","2014-10-01",100.589996,100.690002,98.699997,99.18,51491300,97.513045,-0.0157058197658045
"245","2014-10-02",99.269997,100.220001,98.040001,99.900002,47757800,98.220945,0.00723332461353979
"244","2014-10-03",99.440002,100.209999,99.040001,99.620003,43469600,97.945652,-0.00280672791495593
"243","2014-10-06",99.949997,100.650002,99.419998,99.620003,37051200,97.945652,0
"242","2014-10-07",99.43,100.120003,98.730003,98.75,42094200,97.090271,-0.0087715739783405
"241","2014-10-08",98.760002,101.110001,98.309998,100.800003,57404700,99.105819,0.0205469816179413
"240","2014-10-09",101.540001,102.379997,100.610001,101.019997,77376500,99.322115,0.00218010194364374
"239","2014-10-10",100.690002,102.029999,100.300003,100.730003,66331600,99.036996,-0.00287478760564007
"238","2014-10-13",101.330002,101.779999,99.809998,99.809998,53583400,98.132453,-0.00917534107675392
"237","2014-10-14",100.389999,100.519997,98.57,98.75,63688600,97.090271,-0.0106769548791912
"236","2014-10-15",97.970001,99.150002,95.18,97.540001,100933600,95.900609,-0.0123288432471205
"235","2014-10-16",95.550003,97.720001,95.410004,96.260002,72154500,94.642124,-0.0132096758820855
"234","2014-10-17",97.5,99,96.809998,97.669998,68179700,96.028422,0.0145415443302435
"233","2014-10-20",98.32,99.959999,98.220001,99.760002,77517300,98.083298,0.0211728924376275
"232","2014-10-21",103.019997,103.019997,101.269997,102.470001,94623900,100.747749,0.0268027611506841
"231","2014-10-22",102.839996,104.110001,102.599998,102.989998,68263100,101.259006,0.00506179414776882
"230","2014-10-23",104.080002,105.050003,103.629997,104.830002,71074700,103.068084,0.01770813282464
"229","2014-10-24",105.18,105.489998,104.529999,105.220001,47053900,103.451529,0.00371339626356856
"228","2014-10-27",104.849998,105.480003,104.699997,105.110001,34187700,103.343377,-0.00104597545745212
"227","2014-10-28",105.400002,106.739998,105.349998,106.739998,48060900,104.945978,0.0153885218195748
"226","2014-10-29",106.650002,107.370003,106.360001,107.339996,52687900,105.535893,0.00560537731523561
"225","2014-10-30",106.959999,107.349998,105.900002,106.980003,40654800,105.18195,-0.00335940033818752
"224","2014-10-31",108.010002,108.040001,107.209999,108,44639300,106.184803,0.00948929797849126
"223","2014-11-03",108.220001,110.300003,108.010002,109.400002,52282600,107.561274,0.0128796811451967
"222","2014-11-04",109.360001,109.489998,107.720001,108.599998,41574400,106.774717,-0.00733951918578774
"221","2014-11-05",109.099998,109.300003,108.129997,108.860001,37435900,107.03035,0.00239127310853587
"220","2014-11-06",108.599998,108.790001,107.800003,108.699997,34968500,107.336454,-0.00147089566389716
"219","2014-11-07",108.75,109.32,108.550003,109.010002,33691500,107.64257,0.00284787295894034
"218","2014-11-10",109.019997,109.330002,108.669998,108.830002,27195500,107.464828,-0.00165258940195192
"217","2014-11-11",108.699997,109.75,108.400002,109.699997,27442300,108.32391,0.00796228984861753
"216","2014-11-12",109.379997,111.43,109.370003,111.25,46942400,109.854469,0.0140305811124762
"215","2014-11-13",111.800003,113.449997,111.599998,112.82,59522900,111.404775,0.0140137072654803
"214","2014-11-14",113.150002,114.190002,111.209999,114.18,44063600,112.747715,0.0119825222242833
"213","2014-11-17",114.269997,117.279999,113.300003,113.989998,46746700,112.560096,-0.00166544283282488
"212","2014-11-18",113.940002,115.690002,113.889999,115.470001,44224000,114.021534,0.0129000569207342
"211","2014-11-19",115.440002,115.739998,113.800003,114.669998,41869200,113.231567,-0.00695234401516293
"210","2014-11-20",114.910004,116.860001,114.849998,116.309998,43395500,114.850994,0.0142006025466617
"209","2014-11-21",117.510002,117.57,116.029999,116.470001,57179300,115.00899,0.00137471454494116
"208","2014-11-24",116.849998,118.769997,116.620003,118.629997,47450800,117.141891,0.0183756426838363
"207","2014-11-25",119.07,119.75,117.449997,117.599998,68840400,116.124813,-0.00872036192657516
"206","2014-11-26",117.940002,119.099998,117.830002,119,40768300,117.507253,0.0118344746538056
"205","2014-11-28",119.269997,119.400002,118.050003,118.93,24814400,117.438131,-0.000588408372375334
"204","2014-12-01",118.809998,119.25,111.269997,115.07,83814000,113.626551,-0.0329944459037868
"203","2014-12-02",113.5,115.75,112.75,114.629997,59348900,113.192068,-0.00383111487960854
"202","2014-12-03",115.75,116.349998,115.110001,115.93,43063400,114.475763,0.0112770367265516
"201","2014-12-04",115.769997,117.199997,115.290001,115.489998,42044500,114.04128,-0.00380263187283086
"200","2014-12-05",115.989998,116.080002,114.639999,115,38318900,113.557429,-0.00425180044622926
"199","2014-12-08",114.099998,114.650002,111.620003,112.400002,57664900,110.990045,-0.0228681731100652
"198","2014-12-09",110.190002,114.300003,109.349998,114.120003,60208000,112.688471,0.0151865973802319
"197","2014-12-10",114.410004,114.849998,111.540001,111.949997,44565300,110.545685,-0.0191982363863307
"196","2014-12-11",112.260002,113.800003,111.339996,111.620003,41401700,110.219831,-0.00295204400989504
"195","2014-12-12",110.459999,111.870003,109.580002,109.730003,56028100,108.35354,-0.0170774418946494
"194","2014-12-15",110.699997,111.599998,106.349998,108.230003,67218100,106.872356,-0.0137642103167397
"193","2014-12-16",106.370003,110.160004,106.260002,106.75,60790700,105.410918,-0.0137689679170678
"192","2014-12-17",107.120003,109.839996,106.82,109.410004,53411800,108.037554,0.0246126779396934
"191","2014-12-18",111.870003,112.650002,110.660004,112.650002,59006200,111.236909,0.0291833545839316
"190","2014-12-19",112.260002,113.239998,111.660004,111.779999,88429800,110.37782,-0.0077530397369511
"189","2014-12-22",112.160004,113.489998,111.970001,112.940002,45167500,111.523272,0.0103240770578006
"188","2014-12-23",113.230003,113.330002,112.459999,112.540001,26028400,111.128288,-0.00354799906234595
"187","2014-12-24",112.580002,112.709999,112.010002,112.010002,14479600,110.604938,-0.00472055201166583
"186","2014-12-26",112.099998,114.519997,112.010002,113.989998,33721000,112.560096,0.0175225368240918
"185","2014-12-29",113.790001,114.769997,113.699997,113.910004,27598900,112.481106,-0.000702009676026314
"184","2014-12-30",113.639999,113.919998,112.110001,112.519997,29881500,111.108535,-0.0122777410675331
"183","2014-12-31",112.82,113.129997,110.209999,110.379997,41403400,108.99538,-0.0192020261272109
"182","2015-01-02",111.389999,111.440002,107.349998,109.330002,53204600,107.958556,-0.00955808109288426
"181","2015-01-05",108.290001,108.650002,105.410004,106.25,64285500,104.91719,-0.0285760419351076
"180","2015-01-06",106.540001,107.43,104.629997,106.260002,65797100,104.927067,9.41320400287039e-05
"179","2015-01-07",107.199997,108.199997,106.699997,107.75,40105900,106.398374,0.0139247891393023
"178","2015-01-08",109.230003,112.150002,108.699997,111.889999,59364500,110.486441,0.0377025078984234
"177","2015-01-09",112.669998,113.25,110.209999,112.010002,53699500,110.604938,0.00107193399691599
"176","2015-01-12",112.599998,112.629997,108.800003,109.25,49650800,107.879558,-0.0249493369034971
"175","2015-01-13",111.43,112.800003,108.910004,110.220001,67091900,108.837391,0.00883954355215326
"174","2015-01-14",109.040001,110.489998,108.5,109.800003,48337000,108.422661,-0.00381782113001847
"173","2015-01-15",110,110.059998,106.660004,106.82,60014000,105.480039,-0.0275153814862101
"172","2015-01-16",107.029999,107.580002,105.199997,105.989998,78513300,104.660449,-0.00780044374216547
"171","2015-01-20",107.839996,108.970001,106.5,108.720001,49899900,107.356207,0.0254310478713691
"170","2015-01-21",108.949997,111.059998,108.269997,109.550003,48575900,108.175797,0.0076053143854032
"169","2015-01-22",110.260002,112.470001,109.720001,112.400002,53796400,110.990045,0.0256828618269538
"168","2015-01-23",112.300003,113.75,111.529999,112.980003,46464800,111.562771,0.00514688319730318
"167","2015-01-26",113.739998,114.360001,112.800003,113.099998,55615000,111.681261,0.00106152698812073
"166","2015-01-27",112.419998,112.480003,109.029999,109.139999,95568700,107.770937,-0.0356409128430663
"165","2015-01-28",117.629997,118.120003,115.309998,115.309998,146477100,113.863538,0.0549926838429329
"164","2015-01-29",116.32,119.190002,115.559998,118.900002,84436400,117.408509,0.0306586840791187
"163","2015-01-30",118.400002,120,116.849998,117.160004,83745500,115.690337,-0.0147422644167166
"162","2015-02-02",118.050003,119.169998,116.080002,118.629997,62739100,117.141891,0.0124688242834215
"161","2015-02-03",118.5,119.089996,117.610001,118.650002,51915700,117.161645,0.000168619353773667
"160","2015-02-04",118.5,120.510002,118.309998,119.559998,70149700,118.060226,0.00764032094966166
"159","2015-02-05",120.019997,120.230003,119.25,119.940002,42246200,118.902885,0.00317331372763345
"158","2015-02-06",120.019997,120.25,118.449997,118.93,43706600,117.901617,-0.00845654967621378
"157","2015-02-09",118.550003,119.839996,118.43,119.720001,38889800,118.684787,0.0066206065981674
"156","2015-02-10",120.169998,122.150002,120.160004,122.019997,62008500,120.964894,0.0190292498002514
"155","2015-02-11",122.769997,124.919998,122.5,124.879997,73561800,123.800164,0.0231683110465415
"154","2015-02-12",126.059998,127.480003,125.57,126.459999,74474500,125.366504,0.012572792538714
"153","2015-02-13",127.279999,127.279999,125.650002,127.080002,54272200,125.981145,0.00489078041660463
"152","2015-02-17",127.489998,128.880005,126.919998,127.830002,63152400,126.72466,0.0058844466862767
"151","2015-02-18",127.629997,128.779999,127.449997,128.720001,44891700,127.606964,0.00693823862721839
"150","2015-02-19",128.479996,129.029999,128.330002,128.449997,37362400,127.339294,-0.00209981025242716
"149","2015-02-20",128.619995,129.5,128.050003,129.5,48948400,128.380218,0.00814118093909138
"148","2015-02-23",130.020004,133,129.660004,133,70974100,131.849954,0.0266682470821613
"147","2015-02-24",132.940002,133.600006,131.169998,132.169998,69228100,131.027129,-0.00626017058406553
"146","2015-02-25",131.559998,131.600006,128.149994,128.789993,74711700,127.676351,-0.0259058410851567
"145","2015-02-26",128.789993,130.869995,126.610001,130.419998,91287500,129.292261,0.0125768800774532
"144","2015-02-27",130,130.570007,128.240005,128.460007,62014800,127.349218,-0.0151423703086693
"143","2015-03-02",129.25,130.279999,128.300003,129.089996,48096700,127.97376,0.00489217821116847
"142","2015-03-03",128.960007,129.520004,128.089996,129.360001,37816300,128.241429,0.00208941846673248
"141","2015-03-04",129.100006,129.559998,128.320007,128.539993,31666300,127.428512,-0.00635913751383395
"140","2015-03-05",128.580002,128.75,125.760002,126.410004,56517100,125.316941,-0.0167094613348505
"139","2015-03-06",128.399994,129.369995,126.260002,126.599998,72842100,125.505293,0.00150186976175538
"138","2015-03-09",127.959999,129.570007,125.059998,127.139999,88528500,126.040624,0.00425633973062997
"137","2015-03-10",126.410004,127.220001,123.800003,124.510002,68856600,123.433369,-0.0209027836156296
"136","2015-03-11",124.75,124.769997,122.110001,122.239998,68939000,121.182993,-0.0183997409703342
"135","2015-03-12",122.309998,124.900002,121.629997,124.449997,48362700,123.373882,0.0179176956505803
"134","2015-03-13",124.400002,125.400002,122.580002,123.589996,51827300,122.521318,-0.00693440147096853
"133","2015-03-16",123.879997,124.949997,122.870003,124.949997,35874300,123.869559,0.0109440300347917
"132","2015-03-17",125.900002,127.32,125.650002,127.040001,51023100,125.94149,0.0165883720990048
"131","2015-03-18",127,129.160004,126.370003,128.470001,65270900,127.359126,0.0111934164570745
"130","2015-03-19",128.75,129.25,127.400002,127.5,45809500,126.397512,-0.00757905722895578
"129","2015-03-20",128.25,128.399994,125.160004,125.900002,68695100,124.811349,-0.012628407662556
"128","2015-03-23",127.120003,127.849998,126.519997,127.209999,37709700,126.110019,0.0103512993711773
"127","2015-03-24",127.230003,128.039993,126.559998,126.690002,32842300,125.594518,-0.00409608290657481
"126","2015-03-25",126.540001,126.82,123.379997,123.379997,51655200,122.313135,-0.0264741739341592
"125","2015-03-26",122.760002,124.879997,122.599998,124.239998,47572900,123.165699,0.00694616327618809
"124","2015-03-27",124.57,124.699997,122.910004,123.25,39546200,122.184262,-0.00800034981975696
"123","2015-03-30",124.050003,126.400002,124,126.370003,47099700,125.277286,0.0249993225876012
"122","2015-03-31",126.089996,126.489998,124.360001,124.43,42090600,123.354058,-0.0154708267228609
"121","2015-04-01",124.82,125.120003,123.099998,124.25,40621400,123.175615,-0.00144764381080177
"120","2015-04-02",125.029999,125.559998,124.190002,125.32,32220100,124.236362,0.00857480110725279
"119","2015-04-06",124.470001,127.510002,124.330002,127.349998,37194000,126.248807,0.0160687196367243
"118","2015-04-07",127.639999,128.119995,125.980003,126.010002,35012300,124.920398,-0.0105779009673574
"117","2015-04-08",125.849998,126.400002,124.970001,125.599998,37329200,124.51394,-0.00325904664282661
"116","2015-04-09",125.849998,126.580002,124.660004,126.559998,32484000,125.465638,0.00761425010603088
"115","2015-04-10",125.949997,127.209999,125.260002,127.099998,40188000,126.000969,0.00425767424320465
"114","2015-04-13",128.369995,128.570007,126.610001,126.849998,36365100,125.753131,-0.00196889218112982
"113","2015-04-14",127,127.290001,125.910004,126.300003,25524600,125.207891,-0.00434521716922291
"112","2015-04-15",126.410004,127.129997,126.010002,126.779999,28970400,125.683737,0.00379323985892653
"111","2015-04-16",126.279999,127.099998,126.110001,126.169998,28369000,125.079011,-0.00482310488031979
"110","2015-04-17",125.550003,126.139999,124.459999,124.75,51957000,123.671291,-0.011318453456393
"109","2015-04-20",125.57,128.119995,125.169998,127.599998,47054300,126.496646,0.0225886206050801
"108","2015-04-21",128.100006,128.199997,126.669998,126.910004,32435100,125.812617,-0.00542214989623686
"107","2015-04-22",126.989998,128.869995,126.32,128.619995,37654500,127.507823,0.0133840764920417
"106","2015-04-23",128.300003,130.419998,128.139999,129.669998,45770900,128.548746,0.00813046430451159
"105","2015-04-24",130.490005,130.630005,129.229996,130.279999,44525900,129.153472,0.00469322659523287
"104","2015-04-27",132.309998,133.130005,131.149994,132.649994,96954200,131.502974,0.018028062619677
"103","2015-04-28",134.460007,134.539993,129.570007,130.559998,118924000,129.43105,-0.0158811594547652
"102","2015-04-29",130.160004,131.589996,128.300003,128.639999,63386100,127.527654,-0.0148150782401451
"101","2015-04-30",128.639999,128.639999,124.580002,125.150002,83195400,124.067834,-0.0275047637984181
"100","2015-05-01",126.099998,130.130005,125.300003,128.949997,58512600,127.834971,0.029911675203916
"99","2015-05-04",129.5,130.570007,128.259995,128.699997,50988300,127.587133,-0.00194061777046476
"98","2015-05-05",128.149994,128.449997,125.779999,125.800003,49271400,124.712215,-0.0227907231783407
"97","2015-05-06",126.559998,126.75,123.360001,125.010002,72141000,123.929045,-0.00629961801252496
"96","2015-05-07",124.769997,126.080002,124.019997,125.260002,43940900,124.695574,0.001997842962864
"95","2015-05-08",126.68,127.620003,126.110001,127.620003,55550400,127.04494,0.018665528883432
"94","2015-05-11",127.389999,127.559998,125.629997,126.32,42035800,125.750795,-0.0102387520001012
"93","2015-05-12",125.599998,126.879997,124.82,125.870003,48160000,125.302826,-0.0035687178098587
"92","2015-05-13",126.150002,127.190002,125.870003,126.010002,34694200,125.442195,0.00111163261582994
"91","2015-05-14",127.410004,128.949997,127.160004,128.949997,45203500,128.368942,0.0230634243091643
"90","2015-05-15",129.070007,129.490005,128.210007,128.770004,38208000,128.18976,-0.00139681071369433
"89","2015-05-18",128.380005,130.720001,128.360001,130.190002,50882900,129.60336,0.0109670389226408
"88","2015-05-19",130.690002,130.880005,129.639999,130.070007,44633200,129.483905,-0.000922116378645166
"87","2015-05-20",130,130.979996,129.339996,130.059998,36454900,129.473941,-7.69538293356824e-05
"86","2015-05-21",130.070007,131.630005,129.830002,131.389999,39730400,130.797949,0.0101741249793137
"85","2015-05-22",131.600006,132.970001,131.399994,132.539993,45596000,131.942761,0.00871444180303338
"84","2015-05-26",132.600006,132.910004,129.119995,129.619995,70697600,129.035921,-0.0222773794205598
"83","2015-05-27",130.339996,132.259995,130.050003,132.039993,45833200,131.445014,0.0184977995454779
"82","2015-05-28",131.860001,131.949997,131.100006,131.779999,30733300,131.186191,-0.00197099607348388
"81","2015-05-29",131.229996,131.449997,129.899994,130.279999,50884500,129.69295,-0.0114478851650115
"80","2015-06-01",130.279999,131.389999,130.050003,130.539993,32112800,129.951773,0.00199366685140199
"79","2015-06-02",129.860001,130.660004,129.320007,129.960007,33667600,129.3744,-0.00445287492003457
"78","2015-06-03",130.660004,130.940002,129.899994,130.119995,30889400,129.533668,0.00123029851545655
"77","2015-06-04",129.580002,130.580002,128.910004,129.360001,38450100,128.777098,-0.00585784017986527
"76","2015-06-05",129.5,129.690002,128.360001,128.649994,35626800,128.07029,-0.00550373090962992
"75","2015-06-08",128.899994,129.210007,126.830002,127.800003,52674800,127.22413,-0.00662892667197389
"74","2015-06-09",126.699997,128.080002,125.620003,127.419998,56075400,126.845837,-0.00297786442539362
"73","2015-06-10",127.919998,129.339996,127.849998,128.880005,39087300,128.299265,0.0113930766722783
"72","2015-06-11",129.179993,130.179993,128.479996,128.589996,35390900,128.010563,-0.00225276048876798
"71","2015-06-12",128.190002,128.330002,127.110001,127.169998,36886200,126.596964,-0.0111042588700535
"70","2015-06-15",126.099998,127.239998,125.709999,126.919998,43988900,126.34809,-0.00196780734863874
"69","2015-06-16",127.029999,127.849998,126.370003,127.599998,31494100,127.025026,0.00534340427967132
"68","2015-06-17",127.720001,127.879997,126.739998,127.300003,32918100,126.726383,-0.00235382610696893
"67","2015-06-18",127.230003,128.309998,127.220001,127.879997,35407200,127.303763,0.00454577160240795
"66","2015-06-19",127.709999,127.82,126.400002,126.599998,54716900,126.029532,-0.0100598068198598
"65","2015-06-22",127.489998,128.059998,127.080002,127.610001,34039300,127.034983,0.00794625166997395
"64","2015-06-23",127.480003,127.610001,126.879997,127.029999,30268900,126.457595,-0.00455547441904821
"63","2015-06-24",127.209999,129.800003,127.120003,128.110001,55280900,127.53273,0.00846600651092113
"62","2015-06-25",128.860001,129.199997,127.5,127.5,31938100,126.925478,-0.00477291307565349
"61","2015-06-26",127.669998,127.989998,126.510002,126.75,44066800,126.178858,-0.00589972212718827
"60","2015-06-29",125.459999,126.470001,124.480003,124.529999,49161400,123.96886,-0.017669999768429
"59","2015-06-30",125.57,126.120003,124.860001,125.43,44370700,124.864806,0.00720119133371991
"58","2015-07-01",126.900002,126.940002,125.989998,126.599998,30238800,126.029532,0.00928465987570389
"57","2015-07-02",126.43,126.690002,125.769997,126.440002,27211000,125.870257,-0.00126459074709126
"56","2015-07-06",124.940002,126.230003,124.849998,126,28060400,125.432238,-0.00348599621371814
"55","2015-07-07",125.889999,126.150002,123.769997,125.690002,46946800,125.123637,-0.00246333310256705
"54","2015-07-08",124.480003,124.639999,122.540001,122.57,60761600,122.017693,-0.0251362784958372
"53","2015-07-09",123.849998,124.059998,119.220001,120.07,77821600,119.528958,-0.0206073893104472
"52","2015-07-10",121.940002,123.849998,121.209999,123.279999,61354500,122.724493,0.0263832768576178
"51","2015-07-13",125.029999,125.760002,124.32,125.660004,41440500,125.093773,0.0191216959064833
"50","2015-07-14",126.040001,126.370003,125.040001,125.610001,31768100,125.043995,-0.000398002146416727
"49","2015-07-15",125.720001,127.150002,125.580002,126.82,33649200,126.248542,0.00958688161157434
"48","2015-07-16",127.739998,128.570007,127.349998,128.509995,36222400,127.930922,0.0132379251396856
"47","2015-07-17",129.080002,129.619995,128.309998,129.619995,46164700,129.035921,0.00860037101370399
"46","2015-07-20",130.970001,132.970001,130.699997,132.070007,58900200,131.474893,0.0187250836326324
"45","2015-07-21",132.850006,132.919998,130.320007,130.75,76756400,130.160834,-0.0100450351128751
"44","2015-07-22",121.989998,125.5,121.989998,125.220001,115450600,124.655753,-0.0432149046419233
"43","2015-07-23",126.199997,127.089996,125.059998,125.160004,50999500,124.596026,-0.000479247543335801
"42","2015-07-24",125.32,125.739998,123.900002,124.5,42162300,123.938997,-0.00528723485501092
"41","2015-07-27",123.089996,123.610001,122.120003,122.769997,44455500,122.216789,-0.0139930541479511
"40","2015-07-28",123.379997,123.910004,122.550003,123.379997,33618100,122.824041,0.0049563377095571
"39","2015-07-29",123.150002,123.5,122.269997,122.989998,37011700,122.435799,-0.00316596447353396
"38","2015-07-30",122.32,122.57,121.709999,122.370003,33628300,121.818597,-0.00505376847944515
"37","2015-07-31",122.599998,122.639999,120.910004,121.300003,42885000,120.753419,-0.00878242583131578
"36","2015-08-03",121.5,122.57,117.519997,118.440002,69976000,117.906306,-0.0238603205624958
"35","2015-08-04",117.419998,117.699997,113.25,114.639999,124138600,114.123426,-0.0326097453226199
"34","2015-08-05",112.949997,117.440002,112.099998,115.400002,99312600,114.880003,0.00660759660806401
"33","2015-08-06",115.970001,116.5,114.120003,115.129997,52903000,115.129997,-0.00234247277694898
"32","2015-08-07",114.580002,116.25,114.5,115.519997,38670400,115.519997,0.00338175054691424
"31","2015-08-10",116.529999,119.989998,116.529999,119.720001,54951600,119.720001,0.0357120421623347
"30","2015-08-11",117.809998,118.18,113.330002,113.489998,97082800,113.489998,-0.053440981646972
"29","2015-08-12",112.529999,115.419998,109.629997,115.239998,101217500,115.239998,0.0153021831708931
"28","2015-08-13",116.040001,116.400002,114.540001,115.150002,48535800,115.150002,-0.000781249225898864
"27","2015-08-14",114.32,116.309998,114.010002,115.959999,42929500,115.959999,0.00700965179444762
"26","2015-08-17",116.040001,117.650002,115.5,117.160004,40884700,117.160004,0.0102952606710859
"25","2015-08-18",116.43,117.440002,116.010002,116.5,34560700,116.5,-0.00564928309512202
"24","2015-08-19",116.099998,116.519997,114.68,115.010002,47445700,115.010002,-0.0128721745114732
"23","2015-08-20",114.080002,114.349998,111.629997,112.650002,68501600,112.650002,-0.0207334138619231
"22","2015-08-21",110.43,111.900002,105.650002,105.760002,128275500,105.760002,-0.0631132896182416
"21","2015-08-24",94.870003,108.800003,92,103.120003,162206300,103.120003,-0.0252790072908661
"20","2015-08-25",111.110001,111.110001,103.5,103.739998,103601600,103.739998,0.00599436192103623
"19","2015-08-26",107.089996,109.889999,105.050003,109.690002,96774600,109.690002,0.0557704740121579
"18","2015-08-27",112.230003,113.239998,110.019997,112.919998,84616100,112.919998,0.029021362017189
"17","2015-08-28",112.169998,113.309998,111.540001,113.290001,53164400,113.290001,0.00327132603866733
"16","2015-08-31",112.029999,114.529999,112,112.760002,56229300,112.760002,-0.0046892277296039
"15","2015-09-01",110.150002,111.879997,107.360001,107.720001,76845900,107.720001,-0.0457264067559726
"14","2015-09-02",110.230003,112.339996,109.129997,112.339996,61888800,112.339996,0.0419946742713653
"13","2015-09-03",112.489998,112.779999,110.040001,110.370003,52906400,110.370003,-0.017691566531999
"12","2015-09-04",108.970001,110.449997,108.510002,109.269997,49963900,109.269997,-0.010016528838366
"11","2015-09-08",111.75,112.559998,110.32,112.309998,54114200,112.309998,0.0274410310393658
"10","2015-09-09",113.760002,114.019997,109.769997,110.150002,84344400,110.150002,-0.0194197957616807
"9","2015-09-10",110.269997,113.279999,109.900002,112.57,62675200,112.57,0.0217321589613021
"8","2015-09-11",111.790001,114.209999,111.760002,114.209999,49441800,114.209999,0.0144635999400023
"7","2015-09-14",116.580002,116.889999,114.860001,115.309998,58201900,115.309998,0.00958528613176022
