"","Date","Open","High","Low","Close","Volume","Adj.Close","cl_log"
"251","2014-09-24",78.099998,78.620003,77.510002,78.540001,30680000,78.540001,0
"250","2014-09-25",78.599998,78.940002,77.129997,77.220001,37533000,77.220001,-0.0169495580961261
"249","2014-09-26",77.589996,78.839996,77.330002,78.790001,28872000,78.790001,0.0201275941634596
"248","2014-09-29",78.120003,79.199997,77.910004,79,34031000,79,0.00266175451745882
"247","2014-09-30",79.349998,79.709999,78.599998,79.040001,35899000,79.040001,0.000506213624412795
"246","2014-10-01",78.779999,78.82,75.900002,76.550003,55090000,76.550003,-0.0320099047976704
"245","2014-10-02",76.57,77.480003,75.639999,77.080002,36488000,77.080002,0.00689970819946923
"244","2014-10-03",77.760002,78.059998,77.260002,77.440002,23340000,77.440002,0.0046595993015345
"243","2014-10-06",77.190002,77.889999,76.849998,77.559998,25729000,77.559998,0.0015483357931952
"242","2014-10-07",77.050003,77.949997,76.239998,76.290001,25317000,76.290001,-0.016509923377947
"241","2014-10-08",76.18,77.709999,75.099998,77.519997,32976000,77.519997,0.0159940476728038
"240","2014-10-09",77.279999,77.760002,75.849998,75.910004,32487000,75.910004,-0.0209874481601645
"239","2014-10-10",75.589996,76.5,72.760002,72.910004,52146000,72.910004,-0.0403226220421589
"238","2014-10-13",73.230003,74.779999,72.519997,72.989998,43938000,72.989998,0.0010965593820304
"237","2014-10-14",74,74.18,72.050003,73.589996,50299000,73.589996,0.00818667452076821
"236","2014-10-15",71.690002,73.800003,70.32,73.209999,61528000,73.209999,-0.00517708258407986
"235","2014-10-16",70.790001,73.349998,70.580002,72.629997,53529000,72.629997,-0.00795399168638476
"234","2014-10-17",74.230003,76,73.75,75.949997,76342000,75.949997,0.0446971712292801
"233","2014-10-20",75.599998,77.089996,75.379997,76.949997,34701000,76.949997,0.0130806317564224
"232","2014-10-21",77.559998,78.739998,77.150002,78.690002,32252000,78.690002,0.0223602866645493
"231","2014-10-22",78.82,79.849998,78.010002,78.370003,41808900,78.370003,-0.00407486861835539
"230","2014-10-23",79.379997,80.629997,79.010002,80.040001,35056000,80.040001,0.0210852828645591
"229","2014-10-24",80.199997,80.82,79.32,80.669998,32248000,80.669998,0.00784021194723305
"228","2014-10-27",80.739998,80.800003,79.760002,80.279999,30169000,80.279999,-0.00484622268478404
"227","2014-10-28",80.18,81.160004,79.57,80.769997,71343100,80.769997,0.00608506083996616
"226","2014-10-29",75.449997,76.879997,74.779999,75.860001,106120000,75.860001,-0.0627160228687705
"225","2014-10-30",75.050003,75.349998,72.900002,74.110001,83270000,74.110001,-0.0233390599862074
"224","2014-10-31",74.93,75.699997,74.449997,74.989998,44544000,74.989998,0.011804255186352
"223","2014-11-03",75.470001,75.519997,73.699997,73.879997,40727000,73.879997,-0.0149126299184253
"222","2014-11-04",74.230003,75.769997,73.650002,75.760002,39326000,75.760002,0.025128360552328
"221","2014-11-05",76.510002,76.800003,74.419998,74.830002,35913000,74.830002,-0.0123515744574625
"220","2014-11-06",74.889999,75.599998,74.309998,75.260002,21383000,75.260002,0.00572991092031718
"219","2014-11-07",75.389999,75.860001,75.019997,75.599998,20774000,75.599998,0.00450744499062798
"218","2014-11-10",75.360001,75.480003,74.610001,75,21575100,75,-0.0079681431941501
"217","2014-11-11",74.949997,74.980003,74.029999,74.610001,18715700,74.610001,-0.00521355364985845
"216","2014-11-12",74.279999,75.139999,73.540001,74.720001,26536600,74.720001,0.00147324741743284
"215","2014-11-13",74.739998,75.239998,73.639999,74.25,26448500,74.25,-0.00631002962107571
"214","2014-11-14",74.269997,74.93,74.040001,74.879997,19476900,74.879997,0.00844901442242436
"213","2014-11-17",74.879997,75.660004,73.879997,74.239998,28701200,74.239998,-0.00858373056694372
"212","2014-11-18",74.449997,74.800003,73.900002,74.339996,20690500,74.339996,0.00134604952398165
"211","2014-11-19",74.010002,74.540001,73.110001,73.330002,25441200,73.330002,-0.0136792816825965
"210","2014-11-20",72.800003,73.989998,72.510002,73.599998,19154900,73.599998,0.00367516918124238
"209","2014-11-21",74.5,74.5,73.5,73.75,23055400,73.75,0.00203599665901203
"208","2014-11-24",73.540001,74.349998,73.349998,74.010002,22103800,74.010002,0.00351925101282063
"207","2014-11-25",74.209999,75.739998,74.129997,75.629997,32250200,75.629997,0.0216527439683887
"206","2014-11-26",75.529999,77.779999,75.510002,77.620003,32695300,77.620003,0.0259721743894535
"205","2014-11-28",77.669998,78.269997,77.230003,77.699997,15992000,77.699997,0.00103005417297041
"204","2014-12-01",77.260002,77.309998,74.800003,75.099998,31789900,75.099998,-0.0340346866246321
"203","2014-12-02",75.330002,75.910004,75.040001,75.459999,16724600,75.459999,0.00478216914517996
"202","2014-12-03",75.379997,75.730003,74.400002,74.879997,16689900,74.879997,-0.00771590917887691
"201","2014-12-04",74.830002,75.550003,74.660004,75.239998,14362800,75.239998,0.00479618574599049
"200","2014-12-05",75.800003,76.760002,75.360001,76.360001,24306400,76.360001,0.0147760341021846
"199","2014-12-08",76.18,77.25,75.400002,76.519997,25733900,76.519997,0.00209309341320644
"198","2014-12-09",75.199997,76.93,74.779999,76.839996,25358600,76.839996,0.00417318047751879
"197","2014-12-10",76.650002,77.550003,76.07,76.18,32210500,76.18,-0.00862632479367577
"196","2014-12-11",76.519997,78.519997,76.480003,77.730003,33462100,77.730003,0.0201423607868065
"195","2014-12-12",77.160004,78.879997,77.019997,77.830002,28091600,77.830002,0.00128566483106382
"194","2014-12-15",78.459999,78.580002,76.559998,76.989998,29396500,76.989998,-0.0108514693557702
"193","2014-12-16",76.190002,77.389999,74.589996,74.690002,31554600,74.690002,-0.0303292761662368
"192","2014-12-17",75.010002,76.410004,74.900002,76.110001,29203900,76.110001,0.0188334342718566
"191","2014-12-18",76.889999,78.400002,76.510002,78.400002,34222100,78.400002,0.029644277448388
"190","2014-12-19",78.75,80,78.330002,79.879997,43335000,79.879997,0.0187015181247134
"189","2014-12-22",80.080002,81.889999,80,81.449997,31395800,81.449997,0.0194638272243616
"188","2014-12-23",82.019997,82.169998,80.400002,80.610001,19865800,80.610001,-0.0103665745147227
"187","2014-12-24",81.029999,81.43,80.75,80.769997,7685500,80.769997,0.00198284861078262
"186","2014-12-26",81.019997,81.279999,80.510002,80.779999,10647400,80.779999,0.000123825444264002
"185","2014-12-29",80.489998,80.959999,79.709999,80.019997,14134700,80.019997,-0.009452831817504
"184","2014-12-30",79.849998,80.589996,79.099998,79.220001,14370800,79.220001,-0.0100477611216155
"183","2014-12-31",79.540001,79.800003,77.860001,78.019997,20040400,78.019997,-0.0152636391900147
"182","2015-01-02",78.580002,78.93,77.699997,78.449997,18177500,78.449997,0.00549627531129228
"181","2015-01-05",77.980003,79.25,76.860001,77.190002,26452200,77.190002,-0.0161915000662688
"180","2015-01-06",77.230003,77.589996,75.360001,76.150002,27399300,76.150002,-0.013564835266731
"179","2015-01-07",76.760002,77.360001,75.82,76.150002,22045300,76.150002,0
"178","2015-01-08",76.739998,78.230003,76.080002,78.18,23961000,78.18,0.0263087547596857
"177","2015-01-09",78.199997,78.620003,77.199997,77.739998,21157000,77.739998,-0.00564396066751366
"176","2015-01-12",77.839996,78,76.209999,76.720001,19190200,76.720001,-0.0132074560877017
"175","2015-01-13",77.230003,78.080002,75.849998,76.449997,25179600,76.449997,-0.00352555047585716
"174","2015-01-14",76.419998,77.199997,76.029999,76.279999,25918600,76.279999,-0.00222612551111427
"173","2015-01-15",76.400002,76.57,73.540001,74.050003,34134000,74.050003,-0.0296701863956482
"172","2015-01-16",74.040001,75.32,73.839996,75.18,21791500,75.18,0.0151446569090583
"171","2015-01-20",75.720001,76.309998,74.82,76.239998,22821600,76.239998,0.0140009949769657
"170","2015-01-21",76.160004,77.300003,75.849998,76.739998,25096700,76.739998,0.00653682564378069
"169","2015-01-22",77.169998,77.75,76.68,77.650002,19519500,77.650002,0.0117885165945174
"168","2015-01-23",77.650002,78.190002,77.040001,77.830002,16746500,77.830002,0.00231541131703243
"167","2015-01-26",77.980003,78.470001,77.290001,77.5,19260800,77.5,-0.00424905030902707
"166","2015-01-27",76.709999,76.879997,75.629997,75.779999,20110000,75.779999,-0.0224435439649406
"165","2015-01-28",76.900002,77.639999,76,76.239998,53306400,76.239998,0.00605184071863707
"164","2015-01-29",76.849998,78.019997,74.209999,78,61293500,78,0.0228225935765941
"163","2015-01-30",78,78.160004,75.75,75.910004,42649500,75.910004,-0.0271603459669365
"162","2015-02-02",76.110001,76.139999,73.75,74.989998,41955300,74.989998,-0.0121937360795802
"161","2015-02-03",75.190002,75.580002,73.860001,75.400002,26957700,75.400002,0.00545255689603403
"160","2015-02-04",75.089996,76.349998,75.010002,75.629997,20277400,75.629997,0.00304568866202959
"159","2015-02-05",75.709999,75.980003,75.209999,75.610001,15062600,75.610001,-0.000264427405196296
"158","2015-02-06",75.68,75.699997,74.25,74.470001,20989300,74.470001,-0.015192189645162
"157","2015-02-09",74.050003,74.830002,73.449997,74.440002,16194300,74.440002,-0.000402914509454754
"156","2015-02-10",74.849998,75.339996,74.5,75.190002,15811300,75.190002,0.0100248113478917
"155","2015-02-11",75.089996,76.75,75.029999,76.510002,20877400,76.510002,0.0174032073949169
"154","2015-02-12",76.860001,76.870003,75.889999,76.230003,17235000,76.230003,-0.00366635202936755
"153","2015-02-13",76.459999,76.480003,75.5,75.739998,18621900,75.739998,-0.00644872928724419
"152","2015-02-17",75.300003,76.910004,75.080002,75.599998,25254400,75.599998,-0.00185013933706171
"151","2015-02-18",75.940002,76.900002,75.449997,76.709999,22426400,76.709999,0.0145758082046343
"150","2015-02-19",76.989998,79.839996,76.949997,79.419998,45851200,79.419998,0.0347181355854367
"149","2015-02-20",79.550003,80.339996,79.199997,79.900002,36931700,79.900002,0.00602567728298634
"148","2015-02-23",79.959999,80.190002,78.379997,78.839996,24139100,78.839996,-0.0133554462546668
"147","2015-02-24",78.5,79.480003,78.099998,78.449997,18897100,78.449997,-0.00495899061072798
"146","2015-02-25",78.5,80.199997,78.5,79.559998,25593800,79.559998,0.0140499879093877
"145","2015-02-26",79.879997,81.370003,79.720001,80.410004,31111900,80.410004,0.0106271674576024
"144","2015-02-27",80.68,81.230003,78.620003,78.970001,30739200,78.970001,-0.0180705501325869
"143","2015-03-02",79,79.860001,78.519997,79.75,21662500,79.75,0.00982869549242785
"142","2015-03-03",79.610001,79.699997,78.519997,79.599998,18635000,79.599998,-0.00188267394024505
"141","2015-03-04",79.300003,81.150002,78.849998,80.900002,28126700,80.900002,0.0161997810616158
"140","2015-03-05",81.230003,81.989998,81.050003,81.209999,27825700,81.209999,0.00382453119424024
"139","2015-03-06",80.900002,81.330002,79.830002,80.010002,24488600,80.010002,-0.0148867281216572
"138","2015-03-09",79.68,79.910004,78.629997,79.440002,18925100,79.440002,-0.00714960694575717
"137","2015-03-10",78.5,79.260002,77.550003,77.550003,23067100,77.550003,-0.0240791166058839
"136","2015-03-11",77.800003,78.43,77.260002,77.57,20215700,77.57,0.000257826195513371
"135","2015-03-12",78.099998,79.050003,77.910004,78.93,16093300,78.93,0.017380629217531
"134","2015-03-13",78.599998,79.379997,77.68,78.050003,18557300,78.050003,-0.0112116983219714
"133","2015-03-16",77.959999,78.120003,77.360001,78.07,19305400,78.07,0.000256174733859781
"132","2015-03-17",78.360001,79.779999,78.339996,79.360001,22170000,79.360001,0.0163886154452243
"131","2015-03-18",79.25,81.239998,79.169998,80.910004,36912400,80.910004,0.0193429996799701
"130","2015-03-19",81.120003,83,81,82.75,42099500,82.75,0.0224865389997785
"129","2015-03-20",83.389999,84.599998,83.07,83.800003,44466300,83.800003,0.0126090290303871
"128","2015-03-23",83.919998,84.959999,83.300003,84.43,27357300,84.43,0.0074897453938493
"127","2015-03-24",84.709999,86.07,84.519997,85.309998,32576500,85.309998,0.010368868795284
"126","2015-03-25",85.5,85.519997,82.919998,82.919998,37436100,82.919998,-0.0284153940287473
"125","2015-03-26",82.720001,83.769997,82.139999,83.010002,32794800,83.010002,0.0010848431124814
"124","2015-03-27",83.379997,83.949997,82.879997,83.300003,18372600,83.300003,0.00348747862677551
"123","2015-03-30",83.809998,84.339996,82.410004,83.199997,24527700,83.199997,-0.00120127341773224
"122","2015-03-31",82.900002,83.5,82.209999,82.220001,19734300,82.220001,-0.0118487181372467
"121","2015-04-01",82.5,82.720001,80.870003,81.669998,22058200,81.669998,-0.00671188075083543
"120","2015-04-02",82.25,82.559998,81.440002,81.559998,19664100,81.559998,-0.00134779169695807
"119","2015-04-06",80.800003,82.809998,80.800003,82.440002,19062900,82.440002,0.0107318590978964
"118","2015-04-07",82.650002,83.419998,82.220001,82.32,17467000,82.32,-0.00145668875653193
"117","2015-04-08",82.629997,83.099998,81.839996,82.279999,18966700,82.279999,-0.000486038894659443
"116","2015-04-09",82.5,82.800003,81.709999,82.169998,15927300,82.169998,-0.00133780502782168
"115","2015-04-10",82.209999,82.610001,81.910004,82.040001,12529700,82.040001,-0.00158330220995703
"114","2015-04-13",81.93,83.940002,81.919998,83.010002,26883100,83.010002,0.0117541611670709
"113","2015-04-14",83.169998,83.690002,82.440002,83.519997,19634200,83.519997,0.00612498165436103
"112","2015-04-15",83.550003,83.660004,82.269997,82.709999,22390900,82.709999,-0.00974558660140923
"111","2015-04-16",82.470001,83.07,82.150002,82.309998,13769700,82.309998,-0.00484791892721042
"110","2015-04-17",81.480003,82.110001,80.370003,80.779999,24076300,80.779999,-0.0187631849302031
"109","2015-04-20",81.540001,83.150002,81.239998,83.089996,28796800,83.089996,0.0281949117803534
"108","2015-04-21",84,84.489998,83.540001,83.620003,27171900,83.620003,0.00635845226868455
"107","2015-04-22",84.32,84.739998,83.650002,84.629997,45548000,84.629997,0.0120060164285887
"106","2015-04-23",84.099998,85.589996,82.410004,82.410004,73728100,82.410004,-0.0265819409205017
"105","2015-04-24",82.769997,82.940002,81.480003,81.529999,29660400,81.529999,-0.0107357989036942
"104","2015-04-27",81.870003,82.93,81.629997,81.910004,25446000,81.910004,0.00465009395220012
"103","2015-04-28",81.830002,81.900002,80.230003,80.68,23775300,80.68,-0.0151304192755845
"102","2015-04-29",80.010002,81.389999,79.519997,80.470001,26430300,80.470001,-0.00260625650097831
"101","2015-04-30",80.010002,80.959999,78.32,78.769997,28999000,78.769997,-0.021352280955366
"100","2015-05-01",79.239998,79.760002,78.110001,78.989998,22783300,78.989998,0.002789061227
"99","2015-05-04",79.330002,79.690002,78.629997,78.809998,14636600,78.809998,-0.00228136986859912
"98","2015-05-05",78.550003,78.800003,77.220001,77.559998,22158400,77.559998,-0.0159880624001048
"97","2015-05-06",77.970001,78.809998,77.050003,78.099998,28525000,78.099998,0.00693822664948247
"96","2015-05-07",78,78.940002,77.559998,78.43,19697600,78.43,0.00421647598712987
"95","2015-05-08",79.099998,79.230003,78.029999,78.510002,19804000,78.510002,0.00101952346005052
"94","2015-05-11",78.480003,79.029999,77.93,78.010002,18802300,78.010002,-0.00638898144666549
"93","2015-05-12",77.870003,77.889999,76.790001,77.459999,21176300,77.459999,-0.00707538806124318
"92","2015-05-13",77.720001,78.529999,77.650002,78.440002,21432100,78.440002,0.0125723656486236
"91","2015-05-14",78.940002,81.849998,78.669998,81.370003,49281400,81.370003,0.0366726647518494
"90","2015-05-15",81.410004,81.519997,80.18,80.419998,27011300,80.419998,-0.0117438149774978
