"","Date","Open","High","Low","Close","Volume","Adj.Close","cl_log"
"251","2014-09-15",43.580002,43.779999,43.189999,43.509998,1180600,42.075613,0
"250","2014-09-16",43.450001,45.450001,43.290001,44.849998,2744800,43.371438,0.0303327931455727
"249","2014-09-17",44.849998,44.959999,43.950001,44.02,2246900,42.568802,-0.0186794678134003
"248","2014-09-18",44,44.389999,43.52,44.23,1859600,42.771878,0.00475921578191972
"247","2014-09-19",44.330002,44.43,43.27,43.380001,2494600,41.949902,-0.0194047634294096
"246","2014-09-22",43.330002,43.459999,43.02,43.380001,1320300,41.949902,0
"245","2014-09-23",43.349998,43.349998,42.380001,42.380001,1320000,40.982868,-0.0233219520146372
"244","2014-09-24",42.349998,43.279999,42.110001,43.169998,2118700,41.746822,0.0184691868027276
"243","2014-09-25",43.330002,43.68,42.060001,42.060001,2076000,40.673418,-0.026048569188804
"242","2014-09-26",42.060001,42.619999,41.669998,42.040001,1597800,40.654077,-0.000475624254492466
"241","2014-09-29",41.740002,42.369999,41.419998,42.060001,1350000,40.673418,0.000475624254492501
"240","2014-09-30",42,42.139999,41.189999,41.200001,2084000,39.841769,-0.0206589134227871
"239","2014-10-01",41.119999,41.139999,40.279999,40.380001,2326400,39.048802,-0.020103642977899
"238","2014-10-02",40.32,41.119999,39.610001,40.880001,2509500,39.532319,0.012306332707862
"237","2014-10-03",41.130001,41.490002,40.439999,40.459999,1854100,39.126163,-0.0103271633334577
"236","2014-10-06",40.5,40.59,39.549999,39.560001,2483600,38.255835,-0.0224952749912609
"235","2014-10-07",39.439999,40.029999,39,39.009998,2526600,37.723964,-0.0140005597829112
"234","2014-10-08",39.150002,39.73,38.599998,39.639999,2645400,38.333196,0.016020711985085
"233","2014-10-09",39.560001,39.860001,38.099998,38.299999,2375600,37.037371,-0.0343888141578042
"232","2014-10-10",38.209999,39.470001,38.189999,38.310001,3107800,37.047044,0.000261114738463085
"231","2014-10-13",38.130001,38.389999,37.099998,37.200001,2457800,35.973636,-0.0294021966545815
"230","2014-10-14",37.290001,37.549999,36.869999,37.200001,3018800,35.973636,0
"229","2014-10-15",36.459999,38.810001,35.82,38.459999,3705700,37.192096,0.0333099259987725
"228","2014-10-16",37.779999,40.16,37.540001,39.23,3861900,37.936712,0.0198230460618678
"227","2014-10-17",39.650002,40.360001,39.400002,39.860001,4078600,38.545944,0.0159315796509945
"226","2014-10-20",39.700001,41.009998,39.52,40.66,3004500,39.31957,0.019871468327745
"225","2014-10-21",40.84,41.18,40.52,40.709999,2467100,39.367921,0.00122892975069759
"224","2014-10-22",40.810001,41.169998,40.560001,40.599998,1655300,39.261547,-0.00270572060429602
"223","2014-10-23",40.849998,41.650002,40.740002,41.259998,1419700,39.899789,0.0161254418234053
"222","2014-10-24",41.32,42.389999,41.060001,42.029999,1898200,40.644405,0.0184901660544887
"221","2014-10-27",42,42.450001,41.57,41.810001,2074300,40.43166,-0.00524805593829948
"220","2014-10-28",41.189999,41.290001,39.310001,41.029999,4116200,39.677371,-0.0188320872045124
"219","2014-10-29",41.029999,41.830002,40.82,41.529999,1518100,40.160888,0.0121125514819989
"218","2014-10-30",41.380001,42.349998,41.380001,42.080002,1483700,40.692759,0.0131565823942878
"217","2014-10-31",42.540001,43.889999,42.529999,42.759998,2996300,41.350338,0.0160304234261882
"216","2014-11-03",42.759998,43.139999,42.380001,42.709999,1508400,41.301987,-0.00116997794450421
"215","2014-11-04",42.529999,42.810001,42.119999,42.73,1477400,41.321329,0.000468188216279026
"214","2014-11-05",43.52,43.849998,42.709999,43.040001,1385000,41.62111,0.0072286894317958
"213","2014-11-06",43.049999,44.84,43.049999,44.73,3184900,43.255395,0.0385144783570272
"212","2014-11-07",44.669998,44.779999,43.639999,43.689999,2354100,42.24968,-0.0235251973699452
"211","2014-11-10",43.68,44.009998,42.380001,42.740002,3847900,41.331001,-0.0219839233892392
"210","2014-11-11",42.869999,43.209999,42.360001,42.5,1797500,41.098911,-0.00563122075520109
"209","2014-11-12",42.509998,43.689999,42.509998,43.41,2278400,41.978911,0.0211857533811309
"208","2014-11-13",44.150002,44.700001,43.900002,44.459999,3045100,42.994296,0.0239000567324204
"207","2014-11-14",43.549999,44.490002,42.900002,44.400002,2790200,42.936276,-0.00135037156069948
"206","2014-11-17",44.360001,44.700001,43.799999,44.099998,2020700,42.646163,-0.00677977738189778
"205","2014-11-18",44.099998,44.400002,43.540001,44.02,2006100,42.568802,-0.00181566100300966
"204","2014-11-19",44.380001,44.459999,43.330002,43.610001,3780600,42.172319,-0.00935757131312039
"203","2014-11-20",44.169998,44.700001,43.27,43.869999,5961500,42.423746,0.00594418759830655
"202","2014-11-21",39.41,39.950001,37.110001,37.860001,18759800,36.889367,-0.147335520189225
"201","2014-11-24",37.73,38.23,36.880001,37.759998,7868000,36.791928,-0.00264488388308031
"200","2014-11-25",38.110001,38.27,37.049999,37.400002,5171800,36.441161,-0.00957953041477627
"199","2014-11-26",37.509998,37.709999,37.07,37.200001,2570000,36.246288,-0.00536196973559973
"198","2014-11-28",37.209999,37.98,37.209999,37.810001,1920400,36.840649,0.0162648561900499
"197","2014-12-01",37.619999,37.669998,35.630001,35.830002,6784300,34.911412,-0.0537880572148639
"196","2014-12-02",36,36.75,35.299999,35.540001,3671600,34.628846,-0.00812673627219205
"195","2014-12-03",35.459999,36.709999,35.150002,36.610001,4531800,35.671414,0.0296626035832708
"194","2014-12-04",36.619999,37.139999,36.139999,37.07,3148900,36.11962,0.0124865627155553
"193","2014-12-05",37.029999,37.48,36.580002,37.419998,2817300,36.460645,0.00939725023594694
"192","2014-12-08",37.099998,37.099998,34.77,35.189999,4520700,34.287817,-0.0614433444822583
"191","2014-12-09",34.619999,35.650002,34,35.57,5112100,34.658076,0.0107406630440344
"190","2014-12-10",34.740002,34.919998,33.32,33.330002,5343500,32.475506,-0.0650446336347167
"189","2014-12-11",33.650002,34.990002,33.529999,33.91,5028000,33.040634,0.0172520038119001
"188","2014-12-12",33.709999,34,32.259998,32.299999,5911900,31.47191,-0.0486427568686891
"187","2014-12-15",32.610001,33.52,32.009998,32.93,4490600,32.085759,0.0193168971194148
"186","2014-12-16",32.59,33.549999,31.809999,31.92,4421400,31.101653,-0.0311513238066649
"185","2014-12-17",32.110001,32.73,31.9,32.689999,3610600,31.85191,0.0238364175641161
"184","2014-12-18",33.25,33.650002,32.400002,33.099998,3397200,32.251399,0.0124640318143305
"183","2014-12-19",33.470001,34.5,32.93,34.5,4583300,33.615508,0.0414261020772594
"182","2014-12-22",36.48,36.599998,33.84,34.119999,5196200,33.245249,-0.0110756307221597
"181","2014-12-23",34.290001,35.119999,34.119999,34.630001,3803100,33.742176,0.0148366939758722
"180","2014-12-24",34.860001,34.860001,33.220001,33.389999,2749600,32.533965,-0.0364639632845505
"179","2014-12-26",33.580002,34.049999,33.189999,33.650002,3848600,32.787301,0.00775669151962293
"178","2014-12-29",33.529999,33.82,32.900002,33.650002,2399900,32.787301,0
"177","2014-12-30",33.450001,34.349998,33.200001,33.830002,2134100,32.962687,0.00533492638564133
"176","2014-12-31",34.23,34.41,33.709999,33.799999,1614800,32.933454,-0.000887269008566607
"175","2015-01-02",34.060001,34.16,33.25,33.799999,1612700,32.933454,0
"174","2015-01-05",33.52,34.880001,33.330002,34.720001,4934900,33.829869,0.0268551456908186
"173","2015-01-06",35.169998,36.029999,33.52,33.689999,4885100,32.826273,-0.0301148908579297
"172","2015-01-07",34.290001,34.68,32.98,33.299999,2558300,32.446272,-0.0116436607796951
"171","2015-01-08",33.599998,34.169998,33.32,33.689999,4547400,32.826273,0.011643660779695
"170","2015-01-09",33.59,33.709999,32.09,32.27,4074900,31.44268,-0.0430630216721922
"169","2015-01-12",32.549999,33.84,31.690001,33.77,3618500,32.904224,0.0454348283336058
"168","2015-01-13",34.200001,35.099998,32.700001,32.77,2932300,31.929861,-0.0300593716867531
"167","2015-01-14",37.200001,37.349998,35.84,36.209999,7436600,35.281667,0.0998218334501457
"166","2015-01-15",36.029999,36.75,34.220001,34.459999,5139200,33.576533,-0.0495360940802384
"165","2015-01-16",35.689999,36.41,34.919998,36.349998,4256800,35.418077,0.0533949468782635
"164","2015-01-20",36.330002,36.75,35.209999,36.07,4536600,35.145257,-0.00773265404344643
"163","2015-01-21",35.669998,37.099998,35.470001,36.84,2965600,35.895517,0.0211227164716585
"162","2015-01-22",37.240002,37.240002,36.150002,37.119999,2155300,36.168337,0.00757166959123817
"161","2015-01-23",36.950001,37.5,36.43,37.400002,1800500,36.441161,0.00751487691807629
"160","2015-01-26",37.389999,38.459999,37.27,38.16,2426500,37.181675,0.020117088683665
"159","2015-01-27",38.139999,39,37.59,38.279999,2007000,37.298597,0.00313969388136533
"158","2015-01-28",38.5,39.299999,37.439999,37.610001,2752300,36.645776,-0.0176575413905333
"157","2015-01-29",37.82,37.82,35.470001,36.27,3390600,35.34013,-0.0362790457761067
"156","2015-01-30",35.84,36.099998,35.060001,35.25,3034800,34.34628,-0.0285254240365334
"155","2015-02-02",35.110001,36.93,34.52,36.830002,2426300,35.885775,0.0438472555022518
"154","2015-02-03",36.790001,37.919998,36.389999,37.5,1461600,36.538596,0.0180281482158358
"153","2015-02-04",37.169998,37.419998,35.66,36.630001,2038100,35.690901,-0.0234733288856152
"152","2015-02-05",36.740002,37.279999,36.259998,36.700001,1363100,35.759106,0.00190917821773071
"151","2015-02-06",36.959999,37.389999,36.439999,36.759998,1474300,35.817566,0.00163346077204025
"150","2015-02-09",36.540001,37.580002,36.52,37.18,1556500,36.2268,0.0113607392127771
"149","2015-02-10",37.189999,38.130001,37.009998,38.040001,2434400,37.064752,0.0228672816720089
"148","2015-02-11",38.080002,38.189999,37.259998,37.52,1479800,36.558083,-0.0137641398272829
"147","2015-02-12",37.599998,37.77,37,37.25,1230900,36.295005,-0.00722217931245552
"146","2015-02-13",37.040001,37.900002,36.869999,37.349998,1664700,36.39244,0.00268091320573285
"145","2015-02-17",37.349998,38.209999,36.799999,37.360001,1355100,36.402186,0.000267782095935332
"144","2015-02-18",36.990002,37.549999,36.599998,37.5,1049900,36.538596,0.00374029284912831
"143","2015-02-19",37.689999,37.689999,37.049999,37.529999,774000,36.567825,0.000799653525213517
"142","2015-02-20",37.66,38.040001,37.41,37.490002,1295900,36.528854,-0.00106630240620011
"141","2015-02-23",37.939999,37.990002,37.009998,37.349998,1150400,36.39244,-0.0037414260640771
"140","2015-02-24",37.66,37.790001,36.91,37.139999,751800,36.187825,-0.0056383290318901
"139","2015-02-25",37.349998,37.82,36.919998,37.279999,1018500,36.324235,0.00376243399394436
"138","2015-02-26",37.25,37.48,36.830002,37.029999,1139800,36.080644,-0.00672859507296576
"137","2015-02-27",37.110001,37.720001,36.689999,36.970001,1462700,36.022185,-0.00162156792289102
"136","2015-03-02",36.970001,38.900002,36.970001,38.669998,2397500,37.678598,0.0449572539020262
"135","2015-03-03",38.959999,39.25,38.540001,38.68,1177400,37.688344,0.000258616685568534
"134","2015-03-04",39.18,40.450001,38.720001,40.029999,2094800,39.003732,0.0343064774381243
"133","2015-03-05",39.98,40.560001,39.529999,40,1214300,38.974502,-0.000749693909281502
"132","2015-03-06",39.82,40.580002,39.82,40.16,1185500,39.1304,0.00399202126953746
"131","2015-03-09",40.119999,41.470001,39.810001,40.830002,1538100,39.783225,0.0165456789316
"130","2015-03-10",40.529999,41.16,40.110001,40.650002,1493100,39.607839,-0.0044182691207633
"129","2015-03-11",41.299999,42.669998,39.119999,39.48,1909100,38.467833,-0.0292046706290297
"128","2015-03-12",39.950001,40.209999,39.060001,39.68,1132900,38.662706,0.0050530678513912
"127","2015-03-13",40.240002,40.889999,39.959999,40.700001,1791600,40.01964,0.0253808346019016
"126","2015-03-16",40.73,41.279999,40.650002,41.09,1055300,40.40312,0.00953666587674486
"125","2015-03-17",41.16,41.299999,40.509998,40.91,877000,40.226129,-0.00439025095401134
"124","2015-03-18",40.759998,41.349998,40.16,41.119999,1115800,40.432617,0.00512006488653607
"123","2015-03-19",41.080002,41.169998,40.610001,40.790001,897100,40.108136,-0.00805761898256383
"122","2015-03-20",40.849998,41.189999,40.529999,40.919998,2407300,40.23596,0.00318191436228986
"121","2015-03-23",41.07,41.73,40.75,41.34,1753400,40.648941,0.010211662046053
"120","2015-03-24",41.279999,41.529999,40.900002,40.91,2578000,40.226129,-0.0104560223123152
"119","2015-03-25",40.91,41.209999,39.799999,39.810001,2071300,39.144518,-0.0272563698097648
"118","2015-03-26",39.490002,39.799999,38.580002,38.790001,4853500,38.141569,-0.0259556548998268
"117","2015-03-27",37.669998,38.790001,37.139999,38.360001,5495800,37.718756,-0.0111472311476568
"116","2015-03-30",38.400002,38.5,37.509998,37.689999,2990100,37.059955,-0.0176204953372517
"115","2015-03-31",37.380001,38.549999,37.220001,37.959999,2114700,37.325442,0.00713816665140021
"114","2015-04-01",37.860001,38.5,37.330002,37.779999,2464900,37.14845,-0.00475311179387558
"113","2015-04-02",38.060001,38.810001,37.880001,38.200001,1172600,37.561431,0.0110557061862077
