"","Date","Open","High","Low","Close","Volume","Adj.Close","cl_log"
"251","2014-09-24",30.719999,30.719999,30.35,30.68,35000,29.925248,0
"250","2014-09-25",30.4,30.73,30.25,30.309999,50200,29.564349,-0.0121333184217559
"249","2014-09-26",30.540001,30.82,30.52,30.76,32400,30.003279,0.0147374865601438
"248","2014-09-29",30.07,30.139999,29.690001,29.83,57500,29.096158,-0.0307005461107861
"247","2014-09-30",29.959999,29.959999,29.540001,29.75,52300,29.018126,-0.00268546653501833
"246","2014-10-01",29.51,29.629999,29.309999,29.35,60000,28.627967,-0.0135365857175333
"245","2014-10-02",29.299999,29.35,28.74,29,138700,28.286577,-0.0119967162876314
"244","2014-10-03",29.959999,30.09,29.92,29.92,73700,29.183944,0.0312313231198024
"243","2014-10-06",30.129999,30.450001,30.129999,30.280001,36800,29.535088,0.01196030848807
"242","2014-10-07",30.440001,30.889999,30.440001,30.77,33900,30.013034,0.016052727739604
"241","2014-10-08",30.91,31,30.530001,30.940001,42900,30.178852,0.00550968813158956
"240","2014-10-09",30.74,30.74,30.120001,30.190001,45400,29.447302,-0.0245391006232424
"239","2014-10-10",29,29,28.549999,28.6,69600,27.896417,-0.0541040590164908
"238","2014-10-13",28.25,28.25,27.75,27.75,104700,27.067328,-0.0301708776333635
"237","2014-10-14",27.99,27.99,27.559999,27.59,57900,26.911264,-0.00578245196324885
"236","2014-10-15",28,28.450001,27.74,28.1,71000,27.408718,0.0183161881105055
"235","2014-10-16",27.379999,28.01,27.35,27.809999,67100,27.125851,-0.0103739440521157
"234","2014-10-17",27.93,28.280001,26.34,28.01,52400,27.320932,0.00716595698443275
"233","2014-10-20",28.35,28.540001,28.08,28.530001,79600,27.82814,0.0183946110042145
"232","2014-10-21",28.889999,29.049999,28.75,29.02,55100,28.306085,0.0170290471798102
"231","2014-10-22",29.129999,29.129999,28.950001,28.950001,23300,28.237807,-0.00241500889472375
"230","2014-10-23",29.15,29.15,29,29.02,38600,28.306085,0.00241500889472374
"229","2014-10-24",29.030001,29.09,28.85,29.09,28400,28.374363,0.0024092250510684
"228","2014-10-27",29,29.059999,28.799999,28.93,18400,28.218299,-0.00551535351906649
"227","2014-10-28",29.299999,29.65,29.290001,29.639999,43100,28.910832,0.0242456477016502
"226","2014-10-29",29.82,29.82,29.379999,29.5,21800,28.774276,-0.00473450334391977
"225","2014-10-30",29.690001,29.700001,29.450001,29.559999,32300,28.8328,0.00203179890472699
"224","2014-10-31",29.75,29.75,29.32,29.49,47300,28.764522,-0.00237083942331637
"223","2014-11-03",29.5,29.5,29.200001,29.280001,56500,28.559689,-0.00714649958106917
"222","2014-11-04",29.35,29.5,29.26,29.5,50300,28.774276,0.00748554009965857
"221","2014-11-05",29.6,29.610001,29.5,29.58,62200,28.852308,0.00270819393687956
"220","2014-11-06",28.08,28.08,27.75,27.9,65600,27.213637,-0.0584717684553337
"219","2014-11-07",26.52,26.690001,26.5,26.629999,143500,25.97488,-0.0465883265531131
"218","2014-11-10",27.08,27.42,27.08,27.200001,50100,26.530859,0.0211786477924501
"217","2014-11-11",28.190001,28.190001,27.950001,28.07,22600,27.379455,0.0314843803071343
"216","2014-11-12",27.85,27.85,27.65,27.75,30700,27.067328,-0.0114655501813476
"215","2014-11-13",27.83,27.83,27.51,27.6,19000,26.921018,-0.00542006746933914
"214","2014-11-14",28.17,28.24,27.68,28.15,78300,27.457487,0.019731581862595
"213","2014-11-17",27.85,27.85,27.440001,27.49,50400,26.813724,-0.023725052408545
"212","2014-11-18",27.15,27.15,26.74,26.85,65200,26.337973,-0.0235564812222805
"211","2014-11-19",27.030001,27.030001,26.780001,26.92,47300,26.406638,0.00260368382165341
"210","2014-11-20",26.57,26.92,26.530001,26.65,30000,26.141787,-0.0100803541646736
"209","2014-11-21",27.16,27.610001,27.16,27.549999,55400,27.024623,0.0332133486894287
"208","2014-11-24",27.4,27.73,27.4,27.52,67400,26.995197,-0.00108948623613924
"207","2014-11-25",27.6,27.76,27.48,27.48,38400,26.955958,-0.00145454571099432
"206","2014-11-26",27.76,27.959999,27.76,27.889999,43100,27.35814,0.014809698430103
"205","2014-11-28",27.98,28,27.879999,27.969999,8600,27.436614,0.00286430567702404
"204","2014-12-01",27.58,27.969999,27.1,27.129999,57700,26.612633,-0.0304923816500011
"203","2014-12-02",27.280001,27.6,27.280001,27.450001,47300,26.926532,0.0117261145741367
"202","2014-12-03",27.030001,27.030001,26.860001,26.889999,48200,26.37721,-0.0206117712931849
