"","Date","Open","High","Low","Close","Volume","Adj.Close","cl_log"
"251","2014-09-16",81.230003,81.540001,80.830002,81.199997,4696600,80.309577,0
"250","2014-09-17",81.550003,81.830002,81,81.510002,3721600,80.616183,0.00381052642141363
"249","2014-09-18",81.849998,82,81.25,81.970001,3196700,81.071137,0.00562760222129191
"248","2014-09-19",82.639999,82.739998,81.330002,81.809998,9852200,80.912888,-0.00195387778580706
"247","2014-09-22",81.68,81.870003,80.199997,80.709999,4069200,79.824952,-0.0135369901324749
"246","2014-09-23",80.519997,80.580002,79.889999,80.120003,3023400,79.241426,-0.00733692270479138
"245","2014-09-24",80.139999,80.870003,79.919998,80.839996,3377000,79.953524,0.00894629481351281
"244","2014-09-25",80.68,80.68,79.269997,79.75,7069200,78.87548,-0.0135751013900098
"243","2014-09-26",87.980003,89.989998,87.300003,89.5,17545200,88.518564,0.115341883615856
"242","2014-09-29",88.269997,90.099998,88.269997,89.120003,7417200,88.142734,-0.00425481543935882
"241","2014-09-30",88.690002,90.290001,88.400002,89.199997,5791700,88.221851,0.000897196112225313
"240","2014-10-01",88.910004,89,87.510002,87.699997,4735800,86.738299,-0.016959140783065
"239","2014-10-02",87.669998,89.510002,86.879997,89.300003,4369600,88.32076,0.0180796563064667
"238","2014-10-03",89.760002,90.449997,89.169998,90.290001,4395000,89.299902,0.0110252019177337
"237","2014-10-06",90.290001,90.5,88.559998,89.220001,3515600,88.241636,-0.0119214824864435
"236","2014-10-07",88.599998,89.190002,88.029999,88.07,2743200,87.104245,-0.0129732880909998
"235","2014-10-08",88.110001,89.160004,87.529999,88.830002,3740600,87.855913,0.00859250047915745
"234","2014-10-09",88.449997,88.989998,87.099998,87.230003,3731100,86.27346,-0.0181761104595612
"233","2014-10-10",87.440002,88.199997,87.010002,87.190002,4524100,86.233897,-0.000458674458830348
"232","2014-10-13",86.959999,87.120003,85.239998,85.389999,4002600,84.453633,-0.0208606821695922
"231","2014-10-14",85.779999,85.910004,84.839996,85.089996,4926700,84.156919,-0.00351951335612597
"230","2014-10-15",85.120003,87.099998,84.099998,85.18,8785800,84.245936,0.00105719164265195
"229","2014-10-16",84.190002,87.25,83.849998,87.040001,6822000,86.085541,0.0216011301015355
"228","2014-10-17",87.790001,88.349998,86.93,87.18,5698400,86.224005,0.00160715221364346
"227","2014-10-20",86.800003,88.93,86.769997,88.900002,3371700,87.925145,0.0195372182068
"226","2014-10-21",89.300003,90.699997,89.019997,90.639999,3229800,89.646063,0.0193834406700476
"225","2014-10-22",90.650002,91.529999,89.809998,89.860001,3543900,88.874617,-0.00864269091665842
"224","2014-10-23",90.129997,91.32,89.949997,90.370003,3095900,89.379027,0.00565947234028552
"223","2014-10-24",89.949997,90.989998,89.910004,90.900002,2465500,89.903214,0.00584763607491192
"222","2014-10-27",90.910004,91.779999,90.43,91.639999,2909700,90.635097,0.00810782348739632
"221","2014-10-28",91.529999,92.449997,91.309998,92.449997,3164300,91.436212,0.00880007871013106
"220","2014-10-29",92.160004,92.540001,91.419998,91.949997,2499300,90.941695,-0.00542300695925824
"219","2014-10-30",91.769997,93,91.550003,93,2291700,91.980184,0.0113545747293537
"218","2014-10-31",94.129997,94.139999,92.669998,92.970001,3231800,91.950514,-0.000322621929331561
"217","2014-11-03",93.349998,93.480003,92.870003,93.449997,2431400,92.425246,0.00514963057491816
"216","2014-11-04",93.059998,94.019997,92.620003,93.949997,2220700,92.919763,0.00533619212875262
"215","2014-11-05",94.839996,94.839996,93.709999,94.68,3256900,93.641762,0.00774009071818807
"214","2014-11-06",94.849998,95.089996,94.540001,94.599998,2741000,93.562637,-0.000845329729599975
"213","2014-11-07",94.75,94.75,93.540001,93.779999,2454900,92.751629,-0.00870585191799753
"212","2014-11-10",94.040001,95.07,94.040001,94.959999,2949100,93.91869,0.0125041367724769
"211","2014-11-11",95.199997,95.300003,94.580002,94.879997,2281600,93.839566,-0.000842836140134857
"210","2014-11-12",94.449997,95.919998,94.230003,95.809998,2508800,94.759368,0.00975413915760602
"209","2014-11-13",96.18,96.550003,95.559998,96.120003,2708400,95.065973,0.00323039929112001
"208","2014-11-14",95.790001,95.879997,95.010002,95.5,3203000,94.452769,-0.00647119459256931
"207","2014-11-17",95.370003,96.190002,95.040001,96.059998,2965400,95.006626,0.00584672792967276
"206","2014-11-18",95.989998,96.849998,95.760002,96.470001,2401700,95.412134,0.00425911413202167
"205","2014-11-19",96.5,97.099998,96.349998,96.949997,2292900,95.886866,0.00496326119649582
"204","2014-11-20",96.620003,97.699997,96.309998,97.300003,2411200,96.233034,0.00360366927956097
"203","2014-11-21",98.690002,98.959999,96.660004,97.419998,3508200,96.351713,0.00123248782429534
"202","2014-11-24",97.790001,98.5,97.739998,97.949997,2540700,96.8759,0.00542560591394679
"201","2014-11-25",98.300003,98.5,97.269997,97.290001,3088200,96.223142,-0.0067608944967929
"200","2014-11-26",97.300003,97.879997,97.099998,97.800003,1974400,96.727551,0.00522838844973285
"199","2014-11-28",98.339996,99.760002,98.230003,99.290001,1804700,98.20121,0.0151202634013927
"198","2014-12-01",98.660004,99.389999,97.660004,97.690002,2569600,96.618757,-0.0162456509792349
"197","2014-12-02",98.059998,98.720001,97.690002,98.040001,2188900,96.964917,0.0035763487220547
"196","2014-12-03",98.160004,98.599998,97.519997,98.5,1896000,97.419872,0.00468097931821297
"195","2014-12-04",98.5,99.389999,98.059998,99.050003,2064100,97.963844,0.00556825525424982
"194","2014-12-05",99.260002,99.5,98.830002,99.330002,1704100,98.240772,0.00282285692987519
"193","2014-12-08",99.050003,99.050003,97.300003,97.720001,2577600,96.648427,-0.0163414037393089
"192","2014-12-09",97.059998,97.400002,95.980003,97.029999,2994500,95.965991,-0.00708605789174209
"191","2014-12-10",96.480003,98.239998,96.459999,97.660004,3228900,96.589087,0.00647190086082344
"190","2014-12-11",97.480003,98.599998,96.839996,96.93,4361800,96.142738,-0.00750303108742393
"189","2014-12-12",96.650002,97.889999,96.169998,96.169998,4121900,95.388909,-0.00787163057663257
"188","2014-12-15",96.43,96.93,94.779999,95.43,5076300,94.654921,-0.00772444349872155
"187","2014-12-16",95.349998,95.419998,92.970001,93.209999,7307200,92.452951,-0.0235379930845595
"186","2014-12-17",93.730003,94.760002,92.900002,94.5,5602600,93.732474,0.013744833155094
"185","2014-12-18",96.269997,97.080002,95.059998,97.080002,9480400,96.291521,0.026935566960269
"184","2014-12-19",95.5,96.279999,92.830002,94.839996,13501000,94.069709,-0.0233441824390591
"183","2014-12-22",95.129997,95.93,95.019997,95.93,3831100,95.15086,0.0114275398089495
"182","2014-12-23",96,96.510002,95.589996,95.970001,2620900,95.190536,0.000416894219602815
"181","2014-12-24",96.400002,97.349998,96.089996,96.290001,1219800,95.507937,0.00332882858802789
"180","2014-12-26",96.510002,97.209999,96.25,96.830002,1572200,96.043552,0.0055924026407082
"179","2014-12-29",96.610001,97.650002,96.610001,97.300003,2008900,96.509736,0.00484213574624059
"178","2014-12-30",96.879997,97.300003,96.620003,96.879997,2073400,96.093141,-0.00432595174574308
"177","2014-12-31",96.970001,97.610001,96.040001,96.150002,2348700,95.369074,-0.00756357544307207
"176","2015-01-02",96.550003,96.949997,94.110001,95.029999,2492900,94.258168,-0.0117168721353895
"175","2015-01-05",94.510002,94.550003,93.129997,93.5,3444600,92.740596,-0.0162311844055898
"174","2015-01-06",93.889999,94.150002,92.07,92.949997,3788000,92.19506,-0.00589975440260573
"173","2015-01-07",93.610001,95.300003,93.099998,94.870003,3628000,94.099472,0.0204458831349693
"172","2015-01-08",95.660004,97.099998,95.620003,97.059998,2989100,96.271679,0.0228217583442542
"171","2015-01-09",96.93,96.989998,95.599998,95.989998,2344500,95.21037,-0.0110853248313173
"170","2015-01-12",95.910004,96.519997,95.230003,95.860001,2806500,95.081429,-0.00135519437657668
"169","2015-01-13",96.339996,97.449997,94.629997,95.010002,3091100,94.238334,-0.00890663389429134
"168","2015-01-14",93.379997,94.370003,92.910004,93.709999,3375200,92.94889,-0.0137772738045612
"167","2015-01-15",94.629997,94.68,92.57,92.809998,2117500,92.056198,-0.0096505254066133
"166","2015-01-16",92.769997,93.129997,92.029999,92.989998,4385000,92.234736,0.00193756792451755
"165","2015-01-20",93.440002,93.889999,92.620003,93.610001,4701900,92.849703,0.00664528708385588
"164","2015-01-21",93.110001,94.129997,93.010002,93.510002,2927000,92.750517,-0.00106882223083062
"163","2015-01-22",94.349998,96.110001,93.559998,95.849998,3476200,95.071508,0.024716044790275
"162","2015-01-23",96.139999,96.75,95.650002,96.160004,3390500,95.378995,0.0032290637585174
"161","2015-01-26",96,96.470001,95.550003,96.349998,2479000,95.567447,0.00197386171848646
"160","2015-01-27",95.300003,95.449997,94.120003,94.5,3348400,93.732474,-0.0193875396030238
"159","2015-01-28",95,95.32,93.25,93.309998,3201300,92.552137,-0.0126725726876966
"158","2015-01-29",93.669998,94.870003,93.169998,94.870003,3401200,94.099472,0.0165803032150045
"157","2015-01-30",93.919998,94.360001,92.099998,92.25,4053200,91.500749,-0.0280052821063683
"156","2015-02-02",92.68,92.690002,90.769997,91.919998,4028300,91.173427,-0.00358367113818694
"155","2015-02-03",92.230003,93.389999,92.029999,93.349998,3970100,92.591813,0.0154372367805362
"154","2015-02-04",92.769997,93.269997,92.269997,92.540001,3593700,91.788394,-0.00871485427799442
"153","2015-02-05",92.879997,93.589996,92.559998,93.339996,2877200,92.581892,0.00860770338259541
"152","2015-02-06",93.400002,93.470001,91.540001,91.790001,3643100,91.044486,-0.0167453275421542
"151","2015-02-09",91.5,91.699997,90.690002,91.169998,3669700,90.429518,-0.00677749646566198
"150","2015-02-10",91.739998,93.099998,91.220001,92.75,3847300,91.996688,0.0171818278277739
"149","2015-02-11",92.489998,92.75,90.949997,91.309998,4270500,90.568381,-0.0156474127627021
"148","2015-02-12",91.459999,92.660004,90.800003,92,5927900,91.252779,0.00752828832419778
"147","2015-02-13",92.019997,92.57,91.900002,92.040001,3847800,91.292455,0.000434698982966184
"146","2015-02-17",91.739998,92.900002,91.720001,91.860001,3685500,91.113917,-0.00195758624822812
"145","2015-02-18",91.540001,93.769997,91.43,93.620003,4071900,92.859624,0.0189783781325805
