"","Date","Open","High","Low","Close","Volume","Adj.Close","cl_log"
"251","2014-10-07",1162000,1186000,1162000,1162000,202900,1144344.296336,0
"250","2014-10-08",1142000,1151000,1124000,1130000,294400,1112830.511928,-0.0279250257054703
"249","2014-10-09",1130000,1130000,1130000,1130000,0,1112830.511928,0
"248","2014-10-10",1100000,1114000,1099000,1105000,436700,1088210.367858,-0.0223722977545331
"247","2014-10-13",1082000,1127000,1078000,1108000,226800,1091164.785147,0.00271125335537592
"246","2014-10-14",1127000,1146000,1120000,1127000,331400,1109876.094639,0.0170026467325472
"245","2014-10-15",1128000,1145000,1120000,1125000,282800,1107906.483114,-0.00177619940125578
"244","2014-10-16",1116000,1121000,1104000,1115000,302900,1098058.425486,-0.00892863074430132
"243","2014-10-17",1106000,1115000,1087000,1089000,325600,1072453.475654,-0.0235945609612587
"242","2014-10-20",1115000,1117000,1101000,1106000,189500,1089195.173621,0.0154900591493195
"241","2014-10-21",1094000,1100000,1081000,1083000,235300,1066544.641078,-0.0210149350812895
"240","2014-10-22",1097000,1104000,1090000,1104000,222500,1087225.562096,0.01920497983605
"239","2014-10-23",1113000,1113000,1090000,1094000,170100,1077377.504468,-0.00909924385511415
"238","2014-10-24",1103000,1112000,1092000,1112000,167500,1095104.008198,0.0163194918286012
"237","2014-10-27",1101000,1111000,1087000,1095000,167700,1078362.310231,-0.0154058325599265
"236","2014-10-28",1090000,1100000,1086000,1091000,124800,1074423.08718,-0.0036596564175304
"235","2014-10-29",1100000,1130000,1090000,1130000,274500,1112830.511928,0.0351229258733154
"234","2014-10-30",1129000,1183000,1115000,1181000,491300,1163055.605829,0.0441439044909761
"233","2014-10-31",1198000,1250000,1185000,1244000,772400,1225098.368883,0.0519704571017624
"232","2014-11-03",1250000,1252000,1216000,1235000,269500,1216235.117018,-0.00726102423704717
"231","2014-11-04",1219000,1242000,1205000,1217000,260000,1198508.613288,-0.0146821560745504
"230","2014-11-05",1215000,1225000,1194000,1202000,203200,1183736.526847,-0.0124019778923742
"229","2014-11-06",1198000,1210000,1193000,1204000,171400,1185706.138372,0.00166251077361346
"228","2014-11-07",1218000,1218000,1195000,1206000,120600,1187675.749898,0.00165975141836447
"227","2014-11-10",1226000,1269000,1222000,1268000,384000,1248733.70719,0.0501317577100406
"226","2014-11-11",1255000,1261000,1227000,1231000,242800,1212295.893967,-0.0296140088127178
"225","2014-11-12",1231000,1234000,1219000,1230000,181500,1211311.088204,-0.000812677817990322
"224","2014-11-13",1228000,1232000,1199000,1200000,230900,1181766.915321,-0.0246926125903715
"223","2014-11-14",1201000,1201000,1180000,1194000,212400,1175858.080745,-0.00501254182354429
"222","2014-11-17",1190000,1220000,1182000,1205000,193800,1186690.944135,0.00917055197220788
"221","2014-11-18",1220000,1227000,1215000,1220000,215000,1201463.030577,0.0123712918025468
"220","2014-11-19",1238000,1238000,1212000,1218000,250000,1199493.419051,-0.00164068945745989
