"","Date","Open","High","Low","Close","Volume","Adj.Close","cl_log"
"251","2014-09-24",251.119995,252.839996,247.039993,252.139999,3749500,252.139999,0
"250","2014-09-25",252.520004,254.960007,246.100006,246.949997,4834200,246.949997,-0.0207986099986471
"249","2014-09-26",248.25,249.729996,246.070007,246.600006,3795400,246.600006,-0.0014182597772817
"248","2014-09-29",244,248.639999,241.380005,245.259995,4852700,245.259995,-0.00544876311379275
"247","2014-09-30",246.919998,247.649994,240.119995,242.679993,4238300,242.679993,-0.0105751777178235
"246","2014-10-01",242.199997,242.660004,235.649994,240.240005,5941700,240.240005,-0.0101052297419322
"245","2014-10-02",250.199997,252.789993,245.360001,251.419998,8998200,251.419998,0.0454863950442728
"244","2014-10-03",253.059998,256.5,251.029999,255.210007,5406300,255.210007,0.0149619235524263
"243","2014-10-06",259.130005,262.48999,257.799988,260.619995,7713300,260.619995,0.0209766254474449
"242","2014-10-07",258.529999,261.459991,255.729996,259.570007,4485500,259.570007,-0.00403694581567476
"241","2014-10-08",260.100006,262.880005,252.639999,259.279999,5055100,259.279999,-0.00111788773960723
"240","2014-10-09",262.25,265.540009,254.399994,257.01001,7361300,257.01001,-0.00879352142340403
"239","2014-10-10",244.639999,245.889999,235.199997,236.910004,12888300,236.910004,-0.0814346944914055
"238","2014-10-13",238.570007,238.960007,221,224.589996,11268700,224.589996,-0.0534038391562487
"237","2014-10-14",228.25,232.470001,223,227.059998,7105300,227.059998,0.0109377910227437
"236","2014-10-15",220,230.990005,217.320007,229.699997,9147300,229.699997,0.0115598057063957
"235","2014-10-16",219.720001,229.919998,219.100006,226.350006,5399300,226.350006,-0.0146915962449505
"234","2014-10-17",233.380005,234.770004,226.550003,227.479996,10549400,227.479996,0.00497980446504722
"233","2014-10-20",226.720001,232.399994,225.509995,230.470001,3494400,230.470001,0.0130584016067234
"232","2014-10-21",234.270004,235.389999,230.800003,235.339996,4130300,235.339996,0.0209105535777384
"231","2014-10-22",233.190002,237.389999,230.559998,231.100006,4116600,231.100006,-0.0181807167959757
"230","2014-10-23",234.660004,236.279999,232,235.289993,3492400,235.289993,0.0179682228990423
"229","2014-10-24",236.270004,237.800003,231.199997,235.240005,3463300,235.240005,-0.000212475295520157
"228","2014-10-27",234.25,234.610001,220.309998,221.669998,9553300,221.669998,-0.0594165104003985
"227","2014-10-28",229.600006,244.600006,228.25,242.770004,10484800,242.770004,0.0909247290972706
"226","2014-10-29",241.130005,241.5,235.639999,238.100006,4962500,238.100006,-0.019423730851203
"225","2014-10-30",238.139999,240.5,235.059998,238.660004,3226700,238.660004,0.00234918300944141
"224","2014-10-31",242.509995,243.119995,238.75,241.699997,3775300,241.699997,0.012657313595602
"223","2014-11-03",243,247.559998,241.320007,242.589996,4203800,242.589996,0.00367548375887899
"222","2014-11-04",240.490005,242.350006,236.529999,238.929993,3682600,238.929993,-0.0152021663510801
"221","2014-11-05",241,241.360001,230.529999,230.970001,9045900,230.970001,-0.0338827564175206
